Year,State,State Code,Deaths,Population
1991,Pennsylvania,42,10514,10373254
1991,Rhode Island,44,764,876450
1991,South Carolina,45,2294,3046625
1991,South Dakota,46,683,590860
1991,Tennessee,47,4077,4284653
1991,Texas,48,10629,14524051
1991,Utah,49,930,1430026
1991,Vermont,50,441,484881
1991,Virginia,51,4416,5406282
1991,Washington,53,3708,4256087
1991,West Virginia,54,2065,1578250
1991,Wisconsin,55,3982,4222742
1991,Wyoming,56,369,385030
1992,Alabama,1,3101,3571661
1992,Arizona,4,3151,3300962
1992,Arkansas,5,2108,2070430
1992,California,6,21689,25905495
1992,Colorado,8,2661,2963026
1992,Connecticut,9,2641,2841829
1992,Delaware,10,538,593655
1992,District of Columbia,11,480,524487
1992,Florida,12,11725,11836436
1992,Georgia,13,4530,5787629
1992,Hawaii,15,563,986728
1992,Idaho,16,848,899036
1992,Illinois,17,8595,9965401
1992,Indiana,18,4509,4871091
1992,Iowa,19,2566,2426137
1992,Kansas,20,2067,2149789
1992,Kentucky,21,3533,3248524
1992,Louisiana,22,2714,3611186
1992,Maine,23,1095,1065296
1992,Maryland,24,3082,4189281
1992,Massachusetts,25,5282,5205799
1992,Michigan,26,6602,8062139
1992,Minnesota,27,3272,3808071
1992,Mississippi,28,1964,2220263
1992,Missouri,29,4750,4462497
1992,Montana,30,815,700800
1992,Nebraska,31,1410,1369560
1992,Nevada,32,1018,1150248
1992,New Hampshire,33,811,950069
1992,New Jersey,34,5408,6784673
1992,New Mexico,35,1022,1328399
1992,New York,36,13331,15662224
1992,North Carolina,37,5079,5948095
1992,North Dakota,38,493,544342
1992,Ohio,39,8608,9442393
1992,Oklahoma,40,2983,2745458
1992,Oregon,41,2378,2564660
1992,Pennsylvania,42,10752,10425086
1992,Rhode Island,44,765,876765
1992,South Carolina,45,2439,3091531
1992,South Dakota,46,616,599365
1992,Tennessee,47,4166,4354583
1992,Texas,48,10501,14845339
1992,Utah,49,951,1487941
1992,Vermont,50,492,489179
1992,Virginia,51,4476,5504254
1992,Washington,53,3838,4379122
1992,West Virginia,54,1986,1587192
1992,Wisconsin,55,3712,4286143
1992,Wyoming,56,369,393428
1993,Alabama,1,3581,3625792
1993,Arizona,4,3621,3431674
1993,Arkansas,5,2454,2110076
1993,California,6,23049,26108821
1993,Colorado,8,2827,3075003
1993,Connecticut,9,2630,2842893
1993,Delaware,10,530,604307
1993,District of Columbia,11,450,520646
1993,Florida,12,12636,12069126
1993,Georgia,13,5017,5925254
1993,Hawaii,15,684,998390
1993,Idaho,16,996,933493
1993,Illinois,17,9598,10068712
1993,Indiana,18,4934,4932906
1993,Iowa,19,2860,2447870
